leader,iso3,startyear,endyear,circle_id
Nguesso,COG,1997,2023,CIRC_00203
Brice Oligui,GAB,2023,2023,CIRC_00302
Museveni,UGA,1986,2023,CIRC_00886
Len��n Moreno,ECU,2017,2021,CIRC_00258
Rose Francine Rogombe,GAB,2009,2009,CIRC_00300
Mwai Kibaki,KEN,2002,2013,CIRC_00448
Borja Cevallos,ECU,1988,1992,CIRC_00253
Alarcon Fabian,ECU,1997,1997,CIRC_00253
Alarcon Fabian,ECU,1997,1998,CIRC_00253
Lucio Gutierrez,ECU,2003,2005,CIRC_00253
Moi,KEN,1978,2002,CIRC_00447
William Samoei Ruto,KEN,2022,2023,CIRC_00450
Lee Kuan Yew,SGP,1959,1990,CIRC_00762
Goh Chok Tong,SGP,1990,2004,CIRC_00762
Goh Chok Tong,SGP,1990,2004,CIRC_00942
Lee Hsien Loong,SGP,2004,2015,CIRC_00947
Lee Hsien Loong,SGP,2004,2023,CIRC_00763
Nguema Mbasogo,GNQ,1979,2023,CIRC_00264
Mohamed Abdullahi Mohamed,SOM,2017,2022,CIRC_00788
Muhyiddin Yassin,MYS,2020,2021,CIRC_00542
Mobutu,COD,1965,1997,CIRC_00244
Biya,CMR,1982,2023,CIRC_00163
Hassan Sheikh Mohamud,SOM,2012,2017,CIRC_00787
Hassan Sheikh Mohamud,SOM,2022,2023,CIRC_00787
Ismail Sabri bin Yaakob,MYS,2021,2022,CIRC_00543
Abdulla Yameen Abdul Gayoom,MDV,2013,2015,CIRC_00934
Maumoon Abdul Gayoom,MDV,1978,2008,CIRC_00934
Nasheed,MDV,2008,2012,CIRC_00934
Najib Tun Razak,MYS,2009,2018,CIRC_00541
Kolingba,CAF,1981,1993,CIRC_00173
Touad��ra,CAF,2016,2023,CIRC_00173
Pizano,COL,1994,1998,CIRC_00192
Arango,COL,1998,2002,CIRC_00192
Santos Calderon,COL,2010,2018,CIRC_00192
Ivan Duque Marquez,COL,2018,2022,CIRC_00192
Goodluck Jonathan,NGA,2010,2015,CIRC_00635
C��sar Gaviria Trujillo,COL,1990,1994,CIRC_00191
Hassanal Bolkiah,BRN,1967,2023,CIRC_00131
Sawyer,LBR,1990,1994,CIRC_00481
Ahmad Badawi,MYS,2003,2009,CIRC_00540
Atta Mills,GHA,2009,2012,CIRC_00313
Anwar bin Ibrahim,MYS,2022,2023,CIRC_00544
Rawlings,GHA,1981,2001,CIRC_00311
Nana Akufo-Addo,GHA,2017,2023,CIRC_00311
Bouterse,SUR,2010,2020,CIRC_00803
Chan Santokhi,SUR,2020,2023,CIRC_00804
Shankar,SUR,1988,1990,CIRC_00801
Graanoogst,SUR,1990,1990,CIRC_00801
Venetiaan,SUR,1991,1996,CIRC_00801
Wijdenbosch,SUR,1996,2000,CIRC_00801
Venetiaan,SUR,2000,2010,CIRC_00801
Kraag,SUR,1990,1991,CIRC_00802
Gotabaya Rajapaksa,LKA,2019,2022,CIRC_00797
Siad Barre,ETH,1969,1991,CIRC_00786
Mahatir Bin Mohammad,MYS,1981,2003,CIRC_00539
Mahatir Bin Mohammad,MYS,2018,2020,CIRC_00539
"Soglo, N",TGO,1991,1996,CIRC_00070
Laurent Gbagbo,CIV,2000,2011,CIRC_00171
Rajapakse,LKA,2005,2015,CIRC_00795
Doe,LBR,1980,1990,CIRC_00480
Faure Gnassingbe,TGO,2005,2005,CIRC_00863
Faure Gnassingbe,TGO,2005,2023,CIRC_00863
Jagan Cheddi,GUY,1992,1997,CIRC_00342
Alvaro Uribe Velez,COL,2002,2010,CIRC_00193
Bryant,LBR,2003,2006,CIRC_00487
Johnson Sirleaf,LBR,2006,2018,CIRC_00487
Weah,LBR,2018,2023,CIRC_00487
Patrice Talon,BEN,2016,2023,CIRC_00072
Nguendet,CAF,2014,2014,CIRC_00177
Shonekan,NGA,1993,1993,CIRC_00631
Bola Tinubu,NGA,2023,2023,CIRC_00631
Ramotar,GUY,2011,2015,CIRC_00346
Taylor,LBR,1997,2003,CIRC_00485
Samuel Hinds,GUY,1997,1997,CIRC_00343
Ouattara,CIV,2011,2023,CIRC_00172
John Agyekum Kufuor,GHA,2001,2009,CIRC_00312
Kpormapkor,LBR,1994,1995,CIRC_00482
Bharrat Jagdeo,GUY,1999,2011,CIRC_00345
Moses Zeh Blah,LBR,2003,2003,CIRC_00486
Hoyte,GUY,1985,1992,CIRC_00341
David Granger,GUY,2015,2020,CIRC_00341
Houphouet-Boigny,CIV,1960,1993,CIRC_00168
Irfaan Ali,GUY,2020,2023,CIRC_00347
Sankawulo,LBR,1995,1996,CIRC_00483
Premadasa,LKA,1989,1993,CIRC_00793
Kumaratunga,LKA,1994,2005,CIRC_00793
Ranil Wickremesinghe,LKA,2022,2023,CIRC_00793
Maithripala Sirisena,LKA,2015,2019,CIRC_00796
Hailemariam Desalegn,ETH,2012,2018,CIRC_00274
Ruth Perry,LBR,1996,1997,CIRC_00484
Patasse,CAF,1993,2003,CIRC_00174
Obasanjo,NGA,1999,2007,CIRC_00633
Wijetunge,LKA,1993,1994,CIRC_00794
Mireya Moscoso,PAN,1999,2004,CIRC_00670
Julius Maada Bio,SLE,1996,1996,CIRC_00758
Julius Maada Bio,SLE,2018,2023,CIRC_00758
Leekpai,THA,1992,1995,CIRC_00851
Leekpai,THA,1997,2001,CIRC_00851
Mengistu Marriam,ETH,1977,1991,CIRC_00272
Konan Bedie,CIV,1993,1999,CIRC_00169
Andres Perez,VEN,1989,1993,CIRC_00913
Guei,CIV,1999,2000,CIRC_00170
Abiy Ahmed,ETH,2018,2023,CIRC_00275
Vargas,COL,1986,1990,CIRC_00190
Martin Torrijos,PAN,2004,2009,CIRC_00671
Salva Kiir,SSD,2011,2015,CIRC_00961
Velasquez,VEN,1993,1994,CIRC_00914
Dadis Camara,GIN,2008,2009,CIRC_00337
Kabbah,SLE,1996,1997,CIRC_00759
Kabbah,SLE,1998,2007,CIRC_00759
Koroma,SLE,1997,1998,CIRC_00760
Wongsawat,THA,2008,2008,CIRC_00856
Strasser,SLE,1992,1996,CIRC_00757
Salva Kiir,SSD,2011,2023,CIRC_00798
Hugo Chavez,VEN,1999,2012,CIRC_00916
Gustavo Petro,COL,2022,2023,CIRC_00194
Bai Koroma,SLE,2007,2018,CIRC_00761
Momoh,SLE,1985,1992,CIRC_00756
Noriega,PAN,1983,1990,CIRC_00669
Endara,PAN,1990,1994,CIRC_00669
Balladares,PAN,1994,1999,CIRC_00669
Martinelli,PAN,2009,2014,CIRC_00669
Varela Rodriguez,PAN,2014,2019,CIRC_00669
Ricardo Maduro,PAN,2002,2006,CIRC_00359
Laurentino Cortizo,PAN,2019,2023,CIRC_00359
Yayi Boni,BEN,2006,2016,CIRC_00071
John Mahama,GHA,2012,2017,CIRC_00314
Bonfoh,TGO,2005,2005,CIRC_00864
Sekouba Konate,GIN,2009,2010,CIRC_00338
Guelleh,DJI,1999,2015,CIRC_00944
Babangida,NGA,1985,1993,CIRC_00630
Abubakar,NGA,1998,1999,CIRC_00630
Guelleh,ETH,1999,2023,CIRC_00239
Djotodia,CAF,2013,2014,CIRC_00176
Eyadema,TGO,1967,2005,CIRC_00862
Figueres Olsen,CRI,1994,1998,CIRC_00207
Rodriguez Echeverria,CRI,1998,2002,CIRC_00207
de la Espriella,CRI,2002,2006,CIRC_00207
Laura Chinchilla Miranda,CRI,2010,2014,CIRC_00207
Solis Rivera,CRI,2014,2018,CIRC_00207
Carlos Alvarado Quesada,CRI,2018,2022,CIRC_00207
Rodrigo Chaves Robles,CRI,2022,2023,CIRC_00208
Arias,CRI,1986,1990,CIRC_00205
Arias,CRI,2006,2010,CIRC_00205
Kamla Persad-Bissessar,TTO,2010,2015,CIRC_00868
Rodrigo Duterte,PHL,2016,2022,CIRC_00688
Conte,GIN,1984,2008,CIRC_00335
Panday,TTO,1995,2001,CIRC_00867
Manning,TTO,1991,1995,CIRC_00866
