GID_2,GID_0,year,pop_count,lnpop
AFG.18.3_1,AFG,1990,7578,2.02524931259641
AFG.18.4_1,AFG,1990,11919,2.47813376550057
AFG.18.5_1,AFG,1990,6650,1.89461685466776
AFG.18.6_1,AFG,1990,16866,2.82529976115245
AFG.18.7_1,AFG,1990,8974,2.19433150755379
AFG.18.8_1,AFG,1990,5824,1.76198731089438
AFG.18.9_1,AFG,1990,8729,2.16665081575321
AFG.18.10_1,AFG,1990,9873,2.28980375862931
AFG.18.11_1,AFG,1990,10547,2.35584145929448
AFG.18.12_1,AFG,1990,9180,2.2170272046324
AFG.19.1_1,AFG,1990,9268,2.22656760657013
AFG.19.2_1,AFG,1990,44105,3.78657315471073
AFG.19.3_1,AFG,1990,49166,3.8952023276978
AFG.19.4_1,AFG,1990,132706,4.88813615508616
AFG.19.5_1,AFG,1990,92079,4.52264690423302
AFG.19.6_1,AFG,1990,194827,5.27211198529993
AFG.19.7_1,AFG,1990,39854,3.68522277661039
AFG.20.1_1,AFG,1990,29800,3.39450839351136
AFG.20.2_1,AFG,1990,19574,2.97420215500363
AFG.20.3_1,AFG,1990,11282,2.42320853531778
AFG.20.4_1,AFG,1990,36545,3.59854437793236
AFG.20.5_1,AFG,1990,29107,3.37097869507815
AFG.21.1_1,AFG,1990,32721,3.48801707361472
AFG.21.2_1,AFG,1990,22751,3.12460910047488
AFG.21.3_1,AFG,1990,7458,2.00928728175663
AFG.21.4_1,AFG,1990,22685,3.12170391311593
AFG.21.5_1,AFG,1990,33224,3.50327250632845
AFG.22.1_1,AFG,1990,32822,3.49109902225744
AFG.22.2_1,AFG,1990,22442,3.11093420324267
AFG.22.3_1,AFG,1990,19640,2.97756830292632
AFG.22.4_1,AFG,1990,14561,2.67834672172877
AFG.22.5_1,AFG,1990,13969,2.63684058874541
AFG.22.6_1,AFG,1990,8396,2.12775540195839
AFG.22.7_1,AFG,1990,8170,2.10046890887191
AFG.22.8_1,AFG,1990,10527,2.35394338526919
AFG.22.9_1,AFG,1990,84389,4.43543706135444
AFG.22.10_1,AFG,1990,24146,3.1841187349102
AFG.22.11_1,AFG,1990,37283,3.61853745868269
AFG.22.12_1,AFG,1990,16064,2.77658074350932
AFG.22.13_1,AFG,1990,4885,1.58616928549475
AFG.22.14_1,AFG,1990,16097,2.77863291922409
AFG.22.15_1,AFG,1990,4752,1.55856558206034
AFG.22.16_1,AFG,1990,11540,2.44581926107995
AFG.22.17_1,AFG,1990,56510,4.03441761364175
AFG.22.18_1,AFG,1990,23167,3.14272885228833
AFG.22.19_1,AFG,1990,17494,2.86185796499766
AFG.22.20_1,AFG,1990,36628,3.60081297524549
AFG.23.1_1,AFG,1990,10362,2.3381452683926
AFG.23.2_1,AFG,1990,11802,2.46826900863498
AFG.23.3_1,AFG,1990,8424,2.13108477483167
AFG.23.4_1,AFG,1990,14755,2.6915820083949
AFG.23.5_1,AFG,1990,27660,3.31998732623661
AFG.24.1_1,AFG,1990,5804,1.75854733502194
AFG.24.2_1,AFG,1990,8117,2.09396062777904
AFG.24.3_1,AFG,1990,6848,1.92395663883944
AFG.24.4_1,AFG,1990,14183,2.65204406431247
AFG.24.5_1,AFG,1990,9030,2.20055236742889
AFG.24.6_1,AFG,1990,6990,1.94448055624572
AFG.25.1_1,AFG,1990,12236,2.50438242628866
AFG.25.2_1,AFG,1990,9050,2.20276475771183
AFG.25.3_1,AFG,1990,13190,2.57945896672922
