iso3,year,aid,oil,polity
ALB,2003,11.2407898598458,9.48971246592568,0.85
ALB,2004,10.9547833383967,9.87347876375154,0.85
ALB,2005,10.9992943671287,10.239699290728,0.95
ALB,2006,11.0812035587873,10.5040638872292,0.95
ALB,2007,11.1481940544694,10.7529546283981,0.95
ALB,2008,11.4215461929642,11.1870079039693,0.95
ALB,2009,11.3427167235801,10.5692842237857,0.95
ALB,2010,11.260350635884,10.9029393452573,0.95
ALB,2011,11.1699214234736,11.6048590991202,0.95
ALB,2012,10.9182227618341,11.7175593433932,0.95
ALB,2013,10.6424022672144,11.8337764493388,0.95
AND,1992,,,
AND,1993,,,
AND,1994,,,
AND,1995,,,
AND,1996,,,
AND,1997,,,
AND,1998,,,
AND,1999,,,
AND,2000,,,
AND,2001,,,
AND,2002,,,
AND,2003,,,
AND,2004,,,
AND,2005,,,
AND,2006,,,
AND,2007,,,
AND,2008,,,
AND,2009,,,
AND,2010,,,
AND,2011,,,
AND,2012,,,
AND,2013,,,
ARE,1992,-8.50179814029567,15.6038822020796,0.1
ARE,1993,-8.46848116652633,15.4655038582956,0.1
ARE,1994,-8.27667329005709,15.2792034146221,0.1
ARE,1995,7.59742791227578,15.3003615851938,0.1
ARE,1996,,15.5042994591255,0.1
ARE,1997,,15.3730598190033,0.1
ARE,1998,,14.807316380933,0.1
ARE,1999,,15.0562232410795,0.1
ARE,2000,,15.6441134102909,0.1
ARE,2001,,15.2938071357053,0.1
ARE,2002,,15.2178276097232,0.1
ARE,2003,,15.4796431724999,0.1
ARE,2004,,15.7588189439203,0.1
ARE,2005,,16.0423022741469,0.1
ARE,2006,,16.2558352065037,0.1
ARE,2007,,16.2020676978295,0.1
ARE,2008,,16.4070621957186,0.1
ARE,2009,,15.7560734758181,0.1
ARE,2010,,16.1339155013681,0.1
ARE,2011,,16.5134557037194,0.1
ARE,2012,,16.4815366374071,0.1
ARE,2013,,16.452878669378,0.1
ARG,1992,8.93117840427966,11.0331324285255,0.85
ARG,1993,8.81174436070116,11.0432244671963,0.85
ARG,1994,8.34117344027623,11.0915738978108,0.85
ARG,1995,8.05420233357546,11.3137614648584,0.85
ARG,1996,7.78113826950789,11.5980944773294,0.85
ARG,1997,7.36849235061498,11.5482392120429,0.85
ARG,1998,6.67868612153816,10.9256215797498,0.85
ARG,1999,6.75006281797307,11.4196930118563,0.9
ARG,2000,7.1381756516414,11.9559172141497,0.9
ARG,2001,5.60518358267354,11.6326103322296,0.9
ARG,2002,7.22194819552397,11.677584474187,0.9
ARG,2003,7.84768387279673,11.7442108423484,0.9
ARG,2004,7.61556903744722,11.9441096759873,0.9
ARG,2005,7.5968864132755,12.3058852797589,0.9
ARG,2006,7.62773848768212,12.4821442660142,0.9
ARG,2007,7.37874544472577,12.4922678048507,0.9
ARG,2008,7.68453257983434,12.7973357606681,0.9
ARG,2009,7.56971729481745,12.0619458402548,0.9
ARG,2010,7.87069763764919,12.3737865366263,0.9
ARG,2011,7.30158255021871,12.7621842543025,0.9
ARG,2012,7.27436117968721,12.7100560012671,0.9
ARG,2013,6.4526157393063,12.5851451334107,0.9
ARM,1992,8.48500339422549,0,0.8
ARM,1993,9.92280006029229,0,0.8
ARM,1994,10.2979456637383,0,0.8
ARM,1995,10.2190217405603,0,0.55
ARM,1996,10.4952382305501,0,0.2
ARM,1997,9.59293364768325,0,0.2
ARM,1998,9.94582722092835,0,0.75
ARM,1999,10.0789223618559,0,0.75
ARM,2000,10.6766933532672,0,0.75
ARM,2001,10.5671810700591,0,0.75
ARM,2002,10.8935744015794,0,0.75
ARM,2003,10.6002666411167,0,0.75
